sample
GM12878_nanoNOMe_7
MCF7_nanoNOMe_1
GM12878_nanoNOMe_1
GM12878_nanoNOMe_2
GM12878_nanoNOMe_3
GM12878_nanoNOMe_6
MDAMB231_nanoNOMe_1
MCF10A_nanoNOMe_1
MDAMB231_nanoNOMe_3
MCF10A_nanoNOMe_3
MCF7_nanoNOMe_2
MCF7_nanoNOMe_4
MDAMB231_nanoNOMe_4
GM12878_nanoNOMe_4
GM12878_nanoNOMe_5
MCF7_nanoNOMe_3
MDAMB231_nanoNOMe_2
MCF10A_nanoNOMe_2
